Úroveň 1,Úroveň 2,Úroveň 3,Název (ČJ),Vysvětlení (ČJ),Příklady (ČJ),Term (EN),Explanation (EN),,,,,,,,,,
,,CNA,Kontejner,přesouvatelný úložný objekt pro pevné látky nebo osoby,"nádrž, kontejner, výtahová kabina, nádoba na výsadbu, popelnice, krabice, komoda, koš",Container,moveable storing object for solid matters or persons,,,,,,,,,,kontejner
,,CNB,Plynová láhev,přesouvatelný úložný objekt pro plyny,plynová láhev,Gas cylinder,moveable storing object for gas,,,,,,,,,,plynová láhev
,,CNC,Sud,přesouvatelný úložný objekt pro tekutiny,"sud, lahev",Drum,moveable storing object for liquid,,,,,,,,,,sud
,CP?,,Objekt pro uložení termické energie,objekt pro ukládání termické energie,,Thermal energy storing object,storing object of thermal energy,,,,,,,,,,objekt pro uložení termické energie
,,CPA,Nádrž na teplou vodu,objekt pro uložení termické energie určený pro tekutiny,akumulační nádrž,Liquid Tank,thermal energy storing object of liquid,,,,,,,,,,nádrž na teplou vodu
,,CPB,Plynová nádrž,objekt pro uložení termické energie určený pro plyny,plynová nádrž,Gas tank,thermal energy storing object of gas,,,,,,,,,,plynová nádrž
,,CPC,Tepelný akumulátor z pevné hmoty,objekt pro uložení termické energie určený pro pevné látky,tepelný akumulátor z pevné hmoty,Matter tank,thermal energy storing object of solid matter,,,,,,,,,,tepelný akumulátor z pevné hmoty
,,CPD,Nádrž pro materiál fázového posunu,objekt pro uložení termické energie určený pro materiály měnící fáze,nádrž pro materiál fázového posunu,Crystalline tank,thermal energy storing object of state changing material,,,,,,,,,,nádrž pro materiál fázového posunu
,CQ?,,Objekt pro uožení mechanické energie,objekt pro ukládání mechanické energie,,Mechanical energy storing object,storing object of mechanical energy,,,,,,,,,,objekt pro uožení mechanické energie
,,CQA,Setrvačník,objekt pro uložení mechanické energie v podobě pohybu,setrvačník,Flywheel,mechanical energy storing object in the form of kinetic energy,,,,,,,,,,setrvačník
,,CQB,Pružina,objekt pro uložení mechanické energie v podobě pružení,"pružina, gumička",Spring,mechanical energy storing object in the form of elastic energy,,,,,,,,,,pružina
,,CQC,Protiváha,objekt pro uložení mechanické energie v podobě polohové energie,protiváha,Counterweight,mechanical energy storing object in the form of gravitational energy,,,,,,,,,,protiváha
E??,,,Objekt záření,objekt vydávající záření,,Emitting object,object for emitting,,,,,,,,,,objekt záření
,EA?,,Zdroj světla,objekt záření světla,,Light object,emitting object of light,,,,,,,,,,zdroj světla
,,EAA,Elektrická lampa,zdroj světla pomocí elektrické energie,"oblouková lampa, žárovka, halogenová žárovka, led-lampa, zářivka",Electric lamp,light object by electricity,,,,,,,,,,elektrická lampa
,,EAB,Plynová lampa,zdroj světla pomocí spalování plynu,plynová lampa,Gas lamp,light object by gas combustion,,,,,,,,,,plynová lampa
,,EAC,Olejová lampa,zdroj světla pomocí spalování tekutiny,petrolejová lampa,Liqiud lamp,light object by liquid combustion,,,,,,,,,,olejová lampa
,EB?,,Elektrický objekt vydávající tepelnou energii,objekt záření elektřinou generovaného tepla,,Electric heating object,emitting object of heat provided by electric energy,,,,,,,,,,elektrický objekt vydávající tepelnou energii
,,EBA,Bojler,elektrický objekt vydávající tepelnou energii přes kapalinu,"ponorný ohřívač, fritéza, elektrický bojler, průtokový ohřívač, varná konvice",Electric boiler,electric heating object delivered by fluid,,,,,,,,,,bojler
